@timestamp,@billedDuration,@duration,@initDuration,total,9721.828,10077.89
43:09.9,9254,9253.65,429.7,9683.7,,
55:20.1,9208,9207.19,501.35,9709.35,,
07:31.9,9515,9514.42,427.79,9942.79,,
19:42.6,9078,9077.85,425.05,9503.05,,
31:52.8,9558,9557.39,484.16,10042.16,,
44:06.7,9286,9285.09,441.19,9727.19,,
56:16.4,9529,9528.05,548.25,10077.25,,
08:06.1,9337,9336.94,430.93,9767.93,,
20:19.1,9624,9623.04,466.05,10090.05,,
32:36.2,9446,9445.7,560.19,10006.19,,
44:49.1,9419,9418.64,428.55,9847.55,,
57:02.9,9377,9376.81,441.29,9818.29,,
09:18.4,9075,9074.93,432.91,9507.91,,
21:28.6,8490,8489.21,418.27,8908.27,,
33:43.1,9159,9158.36,464.35,9623.35,,
45:58.5,9209,9208.98,468.75,9677.75,,
58:10.9,9158,9157.43,455.88,9613.88,,
10:03.6,9517,9516.48,464.75,9981.75,,
22:17.6,9362,9361.82,449.78,9811.78,,
34:31.4,8659,8658.53,437.37,9096.37,,
