@timestamp,@billedDuration,@duration,@initDuration,,,,
30:18.7,6653,5999.64,652.92,,,,
42:31.5,6441,5768.97,671.54,,,,
54:42.5,6901,6295.42,605.03,,,,
06:53.2,6996,6384.19,611.67,,,,
19:04.9,6407,5697.72,708.73,,,,
31:13.8,6540,5908.13,631.36,,,,
43:29.1,6611,5957.69,652.96,,,,
55:38.2,6392,5764.68,626.9,,,,
07:27.9,6495,5851.83,642.85,,,,
19:38.6,6805,6184.07,620.28,,,,
31:56.4,7107,6454.95,651.48,,,6890.9,7406.35
44:09.7,7399,6766.81,631.73,,,,
56:23.6,7546,6732.84,813.15,,,,
08:38.3,6913,6273.78,638.83,,,,
20:51.4,6856,6218.99,636.1,,,,
33:04.1,7303,6699.23,602.95,,,,
45:20.0,6931,6218.85,711.3,,,,
57:33.1,7127,6465.64,660.76,,,,
09:24.3,6996,6373.89,621.83,,,,
21:38.3,7399,6668.6,730.14,,,,
