@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
08:23.5,1458,118.56,166000000,,,
19:42.5,1490,219.54,166000000,,,
31:03.5,1674,335.57,166000000,,,
42:23.7,1497,177.26,166000000,,,
53:46.9,1675,295.15,167000000,,,
05:08.2,1610,335.64,167000000,,1583.45,1797.05
16:35.1,1573,316.45,166000000,,,
27:53.5,1463,250.77,167000000,,,
39:14.5,1793,314.2,166000000,,,
50:32.8,1356,81.39,166000000,,,
01:55.1,1874,116.28,166000000,,,
13:12.4,1516,154.56,166000000,,,
24:28.2,1548,218.81,167000000,,,
35:46.3,1732,184.13,166000000,,,
47:04.7,1527,214.55,166000000,,,
58:19.6,1493,240.53,167000000,,,
09:36.3,1636,211.1,166000000,,,
20:57.5,1404,110.49,166000000,,,
32:16.3,1750,254.98,166000000,,,
43:35.5,1600,280.22,166000000,,,
