@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
38:52.7,1531,179.12,167000000,,,
49:22.6,1600,380.39,167000000,,,
59:54.9,1632,356.12,167000000,,,
10:24.4,1713,419.03,166000000,,,
20:54.4,1772,439.66,167000000,,,
31:26.7,1714,298.56,166000000,,,
41:59.2,1776,415.54,167000000,,,
47:06.8,1697,475.78,167000000,,1649.15,1785.65
58:48.0,1601,313.18,167000000,,,
10:14.3,1783,414.74,167000000,,,
21:34.9,1836,579.05,167000000,,,
33:05.7,1706,335.02,167000000,,,
44:26.3,1529,355.46,167000000,,,
55:46.5,1606,335.34,167000000,,,
07:07.2,1548,220.63,167000000,,,
18:24.0,1506,174.43,167000000,,,
29:42.9,1687,314.61,167000000,,,
41:05.2,1422,280.54,167000000,,,
52:24.4,1699,355.68,167000000,,,
03:39.8,1625,334.76,166000000,,,
