@timestamp,@billedDuration,@duration,@initDuration,,,
21:36.5,1285,135.6,1148.68,,,
32:08.6,1324,135.08,1187.99,,,
42:39.0,1249,126.38,1122.52,,,
53:09.4,1322,137.91,1183.33,,,
03:39.5,1246,126.97,1118.04,,,
14:11.6,1228,121.38,1106.28,,1286.35,1409.85
24:41.8,1231,131.07,1099.15,,,
35:13.2,1275,132.2,1142.78,,,
45:44.5,1243,126.3,1115.83,,,
56:14.0,1394,112.15,1281.81,,,
06:48.3,1186,120.88,1065.1,,,
17:21.9,1303,134.1,1168.53,,,
27:53.3,1559,123.72,1434.46,,,
38:23.7,1277,142.75,1133.86,,,
48:53.7,1244,118.68,1124.62,,,
59:24.0,1229,126.93,1101.24,,,
09:54.1,1239,129.06,1109.22,,,
20:24.8,1402,123.56,1278.42,,,
30:55.1,1193,119.22,1073.53,,,
41:25.2,1298,139,1158.54,,,
