@timestamp,@billedDuration,@duration,@initDuration,,,,
10:31.4,1531,405.29,1124.85,,,,
23:43.6,1599,442.38,1155.86,,,,
36:42.2,1489,394.09,1094,,,,
49:42.5,1480,391.15,1088.7,,,,
02:36.9,1463,384.72,1077.53,,,,
15:30.6,1506,415.25,1090.31,,,,
28:25.8,1476,389.83,1085.74,,,,
41:11.2,1520,409.9,1109.14,,,,
53:52.1,1493,394.78,1097.99,,,,
06:37.8,1538,408.15,1129.15,,,1514.45,1553.4
19:43.7,1547,415.29,1131.63,,,,
32:29.9,1464,392.4,1071.34,,,,
45:24.8,1518,409.22,1108.75,,,,
58:26.4,1551,425.35,1124.75,,,,
11:13.5,1507,406.17,1100.67,,,,
24:15.8,1465,390.98,1073.32,,,,
37:02.2,1535,423.58,1110.8,,,,
49:46.7,1550,447.39,1101.61,,,,
02:26.3,1525,407.82,1116.45,,,,
15:30.8,1532,417.56,1113.9,,,,
