@timestamp,@billedDuration,@duration,@initDuration,,,
52:38.3,1629,534.97,1093.58,,,
04:09.3,1688,538.55,1149.07,,,
15:51.6,1694,557.14,1136.32,,,
27:24.6,1686,545.46,1140.01,,,
38:59.1,1736,504.99,1230.59,,,
50:43.6,1700,542.72,1157.1,,,
02:15.7,1645,564.24,1079.92,,,
13:45.7,1677,555.82,1120.74,,1678.75,1747.7
25:27.8,1642,539.74,1102.19,,,
37:04.3,1649,532.12,1116.56,,,
48:37.9,1608,520.58,1087.37,,,
00:11.3,1667,554.09,1112.28,,,
11:43.2,1626,531.4,1094.57,,,
23:16.3,1699,545.1,1153.67,,,
34:48.3,1685,511.2,1172.89,,,
46:21.6,1970,477.98,1491.83,,,
57:50.2,1593,541.54,1050.6,,,
09:22.5,1646,544.66,1100.59,,,
20:53.9,1679,558.16,1120.7,,,
32:39.1,1656,543.47,1111.94,,,
