@timestamp,@billedDuration,@duration,@initDuration,,,,
25:19.7,1675,563.86,1110.6,,,,
38:21.3,1878,552.35,1325.08,,,,
51:15.0,1733,608.76,1123.31,,,,
04:11.3,1720,602.76,1116.56,,,,
17:04.9,1674,585.29,1088.28,,,,
29:50.3,1674,592.4,1081.54,,,,
42:32.9,1669,579.31,1088.82,,,,
55:18.3,1702,587.86,1113.93,,,1721.25,1829.55
08:25.6,1661,589.04,1071.84,,,,
21:10.5,1827,653.73,1172.87,,,,
34:04.9,1784,604.12,1179.12,,,,
47:07.4,1662,565.78,1095.67,,,,
59:53.9,1636,561.27,1074.5,,,,
12:56.8,1774,618.95,1154.5,,,,
25:44.5,1677,572.69,1103.67,,,,
38:25.0,1729,612.51,1116.01,,,,
51:08.3,1790,639.06,1149.98,,,,
04:10.2,1721,529.33,1190.85,,,,
16:56.2,1675,594.57,1080.22,,,,
29:48.3,1764,654,1109.44,,,,
