@timestamp,@billedDuration,@duration,@initDuration,,,
13:35.0,168,167.21,401.08,,,
26:34.8,169,168.87,402.61,,,
39:33.7,167,166.32,399.12,,,
52:28.8,167,166.3,397.31,,,
05:22.8,199,198.94,402.26,,,
18:18.1,185,184.28,405.16,,,
31:02.8,178,177.57,401.99,,,
43:43.8,184,183.4,404.25,,,
56:29.8,195,194.58,406.63,,182.6,201.5
09:35.3,168,167.98,403.68,,,
22:21.6,181,180.43,402.93,,,
35:16.7,201,200.53,412.7,,,
48:18.7,196,195.25,423.04,,,
01:05.3,211,210.6,442.74,,,
14:07.7,170,169.55,403.1,,,
26:54.6,178,177.63,406.85,,,
39:37.8,178,177.24,407.35,,,
52:18.0,198,197.67,407.84,,,
05:22.3,181,180.52,407.81,,,
18:07.0,178,177.3,415.38,,,
