@timestamp,@billedDuration,@duration,@initDuration,,,,
42:12.5,302,84.86,216.93,,,,
53:56.9,287,69.92,216.47,,,,
05:38.6,287,67.86,219.07,,,,
17:11.4,304,75.94,227.59,,,,
28:47.0,288,82.88,204.8,,,,
40:30.0,285,63.98,220.5,,,,
52:02.4,277,65.53,211.36,,,,
03:34.8,271,66.87,203.95,,,,
15:14.6,292,68.86,222.5,,,,
26:51.6,285,65.26,219.36,,,,
38:25.8,395,64.05,330.14,,,294.75,314.25
49:58.9,287,66.57,219.8,,,,
01:32.4,299,71.92,226.61,,,,
13:02.8,256,50.7,205.22,,,,
24:36.7,297,75.47,220.76,,,,
36:08.1,298,77.52,220.07,,,,
47:40.2,310,82.18,227.11,,,,
59:11.0,299,83.34,214.83,,,,
10:41.0,291,74.78,215.94,,,,
22:26.3,285,78.66,206.3,,,,
