@timestamp,@billedDuration,@duration,@initDuration,,,,
12:54.1,8436,8435.11,438.2,,,,
25:50.5,8527,8526.57,434.34,,,,
38:51.7,8470,8469.05,436.22,,,,
51:45.2,8511,8510.85,449.69,,,,
04:40.5,8263,8262.71,426.17,,,,
17:37.4,8469,8468.28,440.85,,,,
30:21.1,8629,8628.45,440.87,,,,
43:04.1,8607,8606.9,439.12,,,,
55:49.2,8433,8432.06,437.21,,,8515.2,8684.5
08:55.5,8533,8532.59,432.74,,,,
21:41.5,8672,8671.27,450.07,,,,
34:35.8,8922,8921.19,462.55,,,,
47:37.6,8428,8427.19,426.03,,,,
00:25.2,8402,8401.26,440.08,,,,
13:27.3,8573,8572.42,448.7,,,,
26:14.2,8153,8153,440.51,,,,
38:56.7,8494,8493.66,435.78,,,,
51:40.1,8656,8655.72,441.64,,,,
04:41.0,8559,8558.7,438.57,,,,
17:27.8,8567,8566.84,435.16,,,,
