@timestamp,@billedDuration,@duration,@initDuration,,,,,
53:44.1,4710,4709.42,451.83,,,,,
21:49.3,4930,4929.32,463.91,,,,,
32:46.9,4792,4791.93,445.17,,,,,
25:18.9,4811,4810.89,462.05,,,,,
36:17.7,4741,4740.12,445.1,,,,,
47:17.8,4883,4882.39,454.76,,,,,
58:14.0,4837,4836.88,452.42,,,,,
09:11.7,4810,4809.99,461.09,,,,,
20:10.4,4770,4769.28,447.95,,,,,
31:08.1,4983,4982.3,466.86,,,,,
42:07.0,4877,4876.45,453,,,,,
56:29.8,5071,5070.49,482.39,,,,,
07:35.2,5020,5019.84,469.34,,,,4888.9,5095.7
18:35.7,4821,4820.27,464.68,,,,,
29:38.3,4771,4770.57,456.44,,,,,
40:40.5,4961,4960.68,460.86,,,,,
51:44.2,4917,4916.97,464.43,,,,,
02:49.3,5128,5127.61,473.33,,,,,
13:54.2,4851,4850.63,458.37,,,,,
24:57.6,5094,5093.15,460.1,,,,,
