@timestamp,@billedDuration,@duration,@initDuration,,,,,
53:24.3,7327,7326.26,433.64,,,,,
04:56.2,7336,7335.32,430.01,,,,,
16:39.7,7242,7241.77,447.08,,,,,
28:13.8,6875,6874.54,410.87,,,,,
39:56.6,7236,7235.69,433.85,,,,,
51:30.4,7444,7443.29,445.77,,,,,
03:02.8,7296,7295.06,434.36,,,,,
26:16.1,7252,7251.38,441.1,,,,,
37:55.6,7364,7363.56,433.86,,,,,
49:25.6,8518,8517.5,438.38,,,,,
00:58.8,7407,7406.26,446.69,,,,7351.6,7584.15
12:31.2,7341,7340.11,457.56,,,,,
24:03.0,7535,7534.17,443.43,,,,,
35:34.6,7036,7035.58,426.2,,,,,
47:07.7,7343,7342.96,441.82,,,,,
58:38.9,7391,7390.41,433.94,,,,,
10:09.7,7293,7292.4,432.96,,,,,
21:55.1,7033,7032.03,429.5,,,,,
33:28.8,7291,7290.87,422.35,,,,,
45:03.1,7472,7471.97,449.35,,,,,
