@timestamp,@billedDuration,@duration,@initDuration,,,,
38:16.9,1173,607.84,564.33,,,,
49:06.5,1201,648.63,551.37,,,,
59:55.9,1150,556.69,593.01,,,,
10:52.9,1124,604.75,518.28,,,,
21:48.4,1152,538.4,613.31,,,,
32:42.3,1163,589.24,573.34,,,1149.9,1207.1
43:34.9,1148,597.46,550.28,,,,
54:27.2,1081,579.91,500.92,,,,
05:14.1,1104,571.67,531.51,,,,
15:58.8,1063,555.15,507.6,,,,
26:44.7,1097,565.72,530.7,,,,
37:37.0,1192,580.93,610.84,,,,
48:22.9,1115,578.61,535.82,,,,
59:12.5,1172,610.82,560.95,,,,
10:05.1,1205,612.47,592.02,,,,
20:56.1,1247,620.71,626.15,,,,
31:47.0,1162,613.26,548.67,,,,
42:36.9,1180,676.42,502.61,,,,
53:24.8,1143,580.64,562.27,,,,
04:13.8,1126,576.59,548.83,,,,
