@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
22:44.3,2114,37.25,189000000,,,
34:07.9,2109,36.07,195000000,,,
45:25.6,2187,15.23,191000000,,,
56:46.1,2060,15.56,195000000,,,
08:07.9,2067,38.03,190000000,,,
19:26.4,1986,28.01,195000000,,,
30:44.8,2022,18.91,190000000,,2113.05,2249.65
42:05.4,1960,10.8,190000000,,,
53:23.3,2029,38.35,190000000,,,
04:44.8,2136,39.71,195000000,,,
16:04.8,2680,36.92,194000000,,,
27:24.9,2166,30.29,189000000,,,
38:46.3,1959,36.75,195000000,,,
50:05.7,1931,14.95,190000000,,,
01:25.2,2206,36.37,192000000,,,
12:46.1,2154,28.61,190000000,,,
24:05.0,2003,15.03,195000000,,,
35:23.5,2103,37.01,191000000,,,
46:40.7,2227,19.61,190000000,,,
58:00.5,2162,38.09,195000000,,,
