@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,,
11:13.0,2158,31.93,192000000,,,,
22:41.5,2132,35.15,192000000,,,,
34:05.4,2155,31.47,192000000,,,,
45:23.1,1979,31.02,192000000,,,,
56:43.6,2174,57.61,192000000,,,,
08:05.4,2039,30.86,192000000,,,,
19:24.1,2197,51.35,192000000,,,,
30:42.4,2333,61.31,192000000,,,2177.8,2491.95
42:03.1,2112,52.39,192000000,,,,
53:20.9,2130,40.65,192000000,,,,
04:42.3,2189,31.74,192000000,,,,
16:01.6,2567,84.51,189000000,,,,
27:22.3,2069,51.28,192000000,,,,
38:43.9,2154,39.68,189000000,,,,
50:03.4,2143,54.38,192000000,,,,
01:22.5,2488,78.33,192000000,,,,
12:43.5,2177,32.89,191000000,,,,
24:02.6,2062,54.16,192000000,,,,
35:21.0,2231,31.83,190000000,,,,
46:38.1,2067,38.96,190000000,,,,
