@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
45:35.3,1884,1446.55,80000000,,,
08:15.1,1943,1470.25,80000000,,,
19:33.5,1882,1458.64,80000000,,1917,2006.45
30:51.9,1889,1429.68,80000000,,,
42:12.7,1932,1462.54,80000000,,,
53:30.5,1879,1447.97,80000000,,,
04:52.0,1926,1474.6,80000000,,,
16:12.4,2091,1499.56,80000000,,,
27:32.5,1879,1463.29,80000000,,,
38:53.4,1985,1500.05,80000000,,,
50:12.6,1914,1475.51,80000000,,,
01:32.7,1889,1471.65,80000000,,,
12:53.5,1891,1461.86,80000000,,,
24:12.8,1910,1457.82,80000000,,,
35:30.6,1872,1449.77,80000000,,,
46:48.3,1934,1471.08,80000000,,,
58:07.6,1883,1464.17,80000000,,,
09:27.6,2002,1491.63,80000000,,,
20:48.1,1889,1460.84,80000000,,,
32:08.7,1866,1460.81,80000000,,,
