@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
19:28.8,2006,15.07,194000000,,,
30:47.3,2101,10.01,190000000,,,
42:08.0,2107,19.79,194000000,,,
53:25.7,2033,18.88,190000000,,,
04:47.2,2013,11.32,190000000,,,
16:07.5,2314,21.06,189000000,,,
27:27.3,2121,17.41,189000000,,2076.6,2275.05
38:48.7,1964,10.45,191000000,,,
50:08.1,2016,11.44,190000000,,,
01:27.6,2003,11.33,194000000,,,
12:48.6,2065,14.9,190000000,,,
24:07.5,2075,33.23,195000000,,,
35:25.9,2001,14.79,189000000,,,
46:43.4,2242,19.52,191000000,,,
58:02.6,1749,10.74,189000000,,,
09:22.7,2040,11.52,194000000,,,
20:43.4,2273,11.56,190000000,,,
32:04.1,2166,11.72,191000000,,,
43:26.7,2172,16.58,190000000,,,
54:48.0,2071,11.68,189000000,,,
