@timestamp,@billedDuration,@duration,@initDuration,total,817.1905,867.01
49:20.6,350,349.7,461.83,811.83,,
00:12.0,357,356.57,583.92,940.92,,
11:10.0,377,376.56,448.83,825.83,,
22:03.7,397,396.58,441.39,838.39,,
32:57.5,379,378.43,439.35,818.35,,
43:49.8,370,369.44,379.55,749.55,,
54:41.8,374,373.91,435.98,809.98,,
05:28.9,377,376.92,441.14,818.14,,
16:14.1,373,372.7,444.95,817.95,,
26:59.5,355,354.83,458.92,813.92,,
37:52.1,358,357.51,417.86,775.86,,
48:37.3,334,333.73,432.94,766.94,,
59:27.2,373,372.87,441.39,814.39,,
10:19.7,401,400.14,421.05,822.05,,
21:11.3,369,368.36,494.12,863.12,,
32:01.4,374,373.42,426.18,800.18,,
42:51.0,377,376.41,441.49,818.49,,
53:39.0,359,358.6,411.06,770.06,,
04:27.8,392,391.06,442.89,834.89,,
15:17.0,379,378.62,453.97,832.97,,
