@timestamp,@billedDuration,@duration,@initDuration,,,,,
32:21.6,1681,524.31,1156.11,,,,,
24:48.6,1781,594.09,1186.25,,,,,
35:51.5,2201,990.05,1210.07,,,,,
46:50.5,1802,599.67,1201.63,,,,,
57:47.0,1618,500.07,1117.4,,,,,
08:46.5,1734,554.78,1178.26,,,,,
19:44.3,1629,507.54,1120.8,,,,,
30:42.6,1682,514.53,1166.94,,,,1751.4,2203
41:40.2,1677,515.07,1161.9,,,,,
45:40.4,1685,546.23,1138.31,,,,,
55:59.6,1833,619.98,1212.9,,,,,
07:01.4,1582,487.41,1094.35,,,,,
18:05.5,1736,565.71,1169.29,,,,,
29:07.5,2241,1011.2,1229.21,,,,,
40:09.9,1709,557.96,1150.6,,,,,
51:12.5,1658,514.57,1142.68,,,,,
02:16.8,1741,558.68,1182.32,,,,,
13:22.2,1816,567.07,1248.08,,,,,
24:27.4,1609,484.33,1123.9,,,,,
35:29.4,1613,495.12,1117.61,,,,,
