@timestamp,@billedDuration,@duration,@initDuration,total,9574.509,9910.682
49:08.1,9189,9188.95,452.34,9641.34,,
00:08.9,9643,9642.15,430.55,10073.55,,
11:10.0,8985,8984.34,432.94,9417.94,,
22:12.0,9241,9240.32,448.99,9689.99,,
33:12.4,9374,9373.58,455.61,9829.61,,
44:14.5,9007,9006.73,434.71,9441.71,,
06:05.2,8931,8930.23,435.26,9366.26,,
17:08.9,9163,9162.91,446.38,9609.38,,
28:08.3,8897,8896.64,444.57,9341.57,,
39:08.6,8935,8934.27,431.3,9366.3,,
50:10.3,9114,9113.46,431.93,9545.93,,
01:11.0,9195,9194.03,450.2,9645.2,,
23:25.5,8362,8361.19,416.05,8778.05,,
34:13.7,9164,9163.36,437.74,9601.74,,
45:13.2,9260,9259.4,448.47,9708.47,,
56:14.1,9235,9234.47,438.86,9673.86,,
07:14.8,9446,9445.3,456.11,9902.11,,
18:18.4,9361,9360.78,456.86,9817.86,,
29:20.7,8936,8935.2,430.12,9366.12,,
40:21.8,9222,9221.22,451.19,9673.19,,
