@timestamp,@billedDuration,@duration,@initDuration,total,8680.0315,9072.0565,
53:58.6,8142,8141.97,451.27,8593.27,,,
22:00.5,8178,8177.89,459.44,8637.44,,,
32:56.8,8183,8182.89,442.5,8625.5,,,
25:29.4,8056,8055.21,452.21,8508.21,,8223.6,8603.3
36:28.4,8271,8270.62,458.84,8729.84,,,
47:28.4,8280,8279.95,461.19,8741.19,,,
58:24.7,8609,8608.59,462.97,9071.97,,,
09:21.7,7736,7735.78,429.53,8165.53,,,
20:21.3,8342,8341.32,463.61,8805.61,,,
31:19.3,8482,8481.31,456.26,8938.26,,,
42:17.2,8248,8247.77,469.11,8717.11,,,
56:40.5,8216,8215.17,454.15,8670.15,,,
07:46.0,8603,8602.08,470.7,9073.7,,,
18:45.5,8080,8079.55,449.61,8529.61,,,
29:47.5,8080,8079.88,445.6,8525.6,,,
40:50.9,8314,8313.94,459.01,8773.01,,,
51:55.2,8209,8208.41,467.12,8676.12,,,
03:00.3,8171,8170.23,458.45,8629.45,,,
14:05.7,8372,8371.76,473.31,8845.31,,,
25:08.2,7900,7899.36,443.75,8343.75,,,
