@timestamp,@billedDuration,@duration,@initDuration,,,,
39:29.9,456,69.57,385.51,,,,
52:25.3,441,65.23,375.52,,,,
05:19.2,473,76.53,395.6,,,,
18:14.7,457,71.78,384.61,,,,
31:00.4,476,78.2,397.23,,,,
43:40.5,451,72.72,377.71,,,,
56:26.5,437,57.55,379.14,,,,
09:32.9,446,70.2,375.49,,,,
22:18.4,470,67.95,401.42,,,466.8,571.85
35:13.7,488,66.49,420.89,,,,
48:15.1,442,64.27,377.28,,,,
01:01.6,428,58.55,368.78,,,,
14:03.9,428,60.16,366.89,,,,
26:51.2,470,77.38,392.14,,,,
39:34.6,588,55.35,532.59,,,,
52:15.8,472,67.4,403.83,,,,
05:18.2,429,56.74,372.08,,,,
18:04.0,446,66.61,379.29,,,,
30:56.9,467,78.69,387.96,,,,
43:40.3,571,71.7,499.18,,,,
