@timestamp,@billedDuration,@duration,@initDuration,,,
26:23.8,929,335.12,593.65,,,
39:24.5,701,326.86,373.42,,,
52:18.9,746,347.7,397.47,,,
05:13.6,737,347.85,388.63,,,
18:09.8,746,349.35,396.43,,736.8,771.3
30:54.8,713,328.78,383.7,,,
43:35.6,733,349.79,382.31,,,
56:21.5,743,349.93,392.6,,,
09:27.1,695,322.6,372.14,,,
22:13.3,680,311.95,367.72,,,
35:08.3,713,332.22,380.29,,,
48:10.5,754,361.8,391.45,,,
00:57.1,747,346.93,399.84,,,
13:58.8,734,350.02,383.19,,,
26:46.3,755,357.38,397.09,,,
39:29.7,709,330.96,377.15,,,
52:09.9,716,332.37,383.26,,,
05:13.2,712,324.67,387.15,,,
17:59.3,763,344.3,417.79,,,
30:52.1,710,328.29,380.82,,,
