@timestamp,@billedDuration,@duration,@initDuration,total,5348.604,5556.4615,,
53:44.1,4710,4709.42,451.83,5161.83,,,,
21:49.3,4930,4929.32,463.91,5393.91,,,,
32:46.9,4792,4791.93,445.17,5237.17,,,,
25:18.9,4811,4810.89,462.05,5273.05,,,,
36:17.7,4741,4740.12,445.1,5186.1,,,,
47:17.8,4883,4882.39,454.76,5337.76,,,,
58:14.0,4837,4836.88,452.42,5289.42,,,,
09:11.7,4810,4809.99,461.09,5271.09,,,,
20:10.4,4770,4769.28,447.95,5217.95,,,,
31:08.1,4983,4982.3,466.86,5449.86,,,,
42:07.0,4877,4876.45,453,5330,,,,
56:29.8,5071,5070.49,482.39,5553.39,,,,
07:35.2,5020,5019.84,469.34,5489.34,,,4888.9,5095.7
18:35.7,4821,4820.27,464.68,5285.68,,,,
29:38.3,4771,4770.57,456.44,5227.44,,,,
40:40.5,4961,4960.68,460.86,5421.86,,,,
51:44.2,4917,4916.97,464.43,5381.43,,,,
02:49.3,5128,5127.61,473.33,5601.33,,,,
13:54.2,4851,4850.63,458.37,5309.37,,,,
24:57.6,5094,5093.15,460.1,5554.1,,,,
