@timestamp,@billedDuration,@duration,@initDuration,,,
12:27.0,1420,336.57,1083.21,,,
25:25.5,1509,391.6,1116.56,,,
38:27.4,1405,330.72,1074.26,,,
51:21.1,1491,362.55,1128.08,,,
04:16.7,1408,329.28,1078.12,,1460.55,1542.45
17:11.5,1437,343.18,1093.79,,,
29:56.4,1442,350.22,1091.35,,,
42:39.0,1540,323.76,1215.44,,,
55:23.7,1425,343.74,1080.7,,,
08:31.3,1454,339.17,1114.08,,,
21:16.8,1513,377.86,1134.89,,,
34:10.5,1589,332.3,1255.76,,,
47:13.2,1411,328.34,1081.7,,,
59:59.3,1456,359.67,1095.97,,,
13:01.9,1426,335.08,1090.15,,,
25:50.0,1472,356.71,1115.23,,,
38:30.4,1410,341.62,1067.96,,,
51:13.8,1516,365.17,1150.57,,,
04:16.4,1430,349.01,1080.15,,,
17:02.2,1457,347.87,1108.73,,,
