@timestamp,@billedDuration,@duration,@initDuration,total,524.8585,548.501
13:36.9,123,122.79,404.08,527.08,,
26:36.5,121,120.92,406.88,527.88,,
39:35.7,124,123.18,408.44,532.44,,
52:30.7,124,123.21,401.21,525.21,,
05:25.1,111,110.75,406.28,517.28,,
18:20.0,125,124.91,406.21,531.21,,
31:05.3,107,106.99,404.88,511.88,,
43:46.1,110,109.02,398.59,508.59,,
56:32.4,116,115.68,397.34,513.34,,
09:37.3,118,117.42,410.2,528.2,,
22:23.4,107,106.86,406.07,513.07,,
35:18.3,121,120.2,414.12,535.12,,
48:20.6,107,106.59,394.83,501.83,,
01:06.9,112,111.46,404.8,516.8,,
14:09.3,125,124.73,423.12,548.12,,
26:55.9,117,116.15,403.69,520.69,,
39:40.0,121,120.52,396.54,517.54,,
52:20.5,123,122.46,432.74,555.74,,
05:24.6,122,121.78,407.71,529.71,,
18:08.8,116,115.89,419.44,535.44,,
