@timestamp,@billedDuration,@duration,@initDuration,,,,,
52:35.9,1523,437.52,1085.33,,,,,
04:07.3,1597,468.41,1128.5,,,,,
15:49.8,1533,443.74,1089.1,,,,,
27:22.2,1544,459.7,1084.06,,,,,
38:56.7,1630,467.8,1162.06,,,,,
50:41.4,1852,446.18,1405.07,,,,,
02:13.4,1573,446.19,1126.37,,,,1596,1763.65
13:43.9,1593,459.78,1132.43,,,,,
25:26.2,1609,473.77,1135.19,,,,,
37:02.2,1559,452.54,1105.75,,,,,
48:35.5,1535,444.02,1090.27,,,,,
00:09.1,1647,502.42,1144.12,,,,,
11:41.4,1571,463.43,1106.63,,,,,
23:13.5,1550,444.65,1104.37,,,,,
34:46.5,1759,458.09,1300.17,,,,,
46:19.2,1653,483.43,1169.08,,,,,
57:48.9,1533,429.68,1103.23,,,,,
09:20.2,1557,457.16,1099.48,,,,,
20:51.7,1526,450.04,1075.65,,,,,
32:37.2,1576,478.44,1097.46,,,,,
