@timestamp,@billedDuration,@duration,@initDuration,,,,,
17:03.3,1850,764.82,1085.04,,,,,
29:48.3,1938,792.6,1144.51,,,,,
42:31.9,1830,741.07,1088.87,,,,,
55:16.2,1932,792.29,1139.27,,,,,
08:23.2,1893,774.84,1117.69,,,,,
21:08.8,1936,819.06,1116,,,,,
34:02.1,1943,809.96,1132.44,,,,,
47:04.9,1928,793.6,1133.72,,,,,
59:52.0,1819,760.99,1057.71,,,,1893.1,1944.25
25:43.0,1827,746.96,1079.92,,,,,
38:22.3,1879,786.23,1092.08,,,,,
51:05.9,1850,791.7,1058,,,,,
04:08.3,1968,818.27,1149.7,,,,,
16:54.5,1931,767.09,1163.34,,,,,
29:46.5,1886,764.91,1121.05,,,,,
42:31.5,1932,810.74,1121.23,,,,,
55:23.7,1902,794.71,1106.94,,,,,
08:17.7,1906,813.02,1092.33,,,,,
21:00.3,1854,763.46,1089.61,,,,,
33:39.6,1858,792.94,1064.66,,,,,
