@timestamp,@billedDuration,@duration,@initDuration,,,,
12:08.3,2757,1599.36,1157.17,,,,
25:12.2,2884,1773.07,1110.33,,,,
38:09.6,2852,1763.15,1088.39,,,,
51:08.0,2778,1677.41,1100.34,,,,
03:59.1,2847,1751.57,1094.54,,,,
16:58.2,2692,1613.05,1078.36,,,,
29:44.5,2826,1720.28,1105.23,,,2822.45,2992
42:26.4,3201,1948.03,1252.84,,,,
55:10.7,2914,1824.6,1089,,,,
08:18.7,2981,1829.56,1150.49,,,,
20:59.9,2723,1646.43,1076.12,,,,
33:56.9,2737,1676.95,1059.95,,,,
46:59.9,2922,1740.37,1181.36,,,,
59:47.1,2784,1685.78,1097.25,,,,
12:44.2,2760,1680.39,1079.38,,,,
25:32.7,2695,1643.13,1051.84,,,,
38:18.6,2722,1652.99,1068.91,,,,
51:01.5,2687,1624.56,1062.13,,,,
03:56.3,2850,1744.72,1104.99,,,,
16:49.2,2837,1735.6,1100.74,,,,
