Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1638381434,1,,Aggregated,0.900000,0.000000,77,80,81,84,140,200,230,230,230,230,230,100,0,77,89.41996831999982,66.56816600000148,234.39345799999955,17.0
1638381435,1,,Aggregated,0.900000,0.000000,77,80,81,84,130,200,210,230,230,230,230,101,0,77,89.74085972277214,66.56816600000148,234.39345799999955,17.0
1638381436,1,,Aggregated,0.900000,0.000000,78,80,81,84,130,200,210,230,230,230,230,102,0,77,89.64029696078431,66.56816600000148,234.39345799999955,17.0
1638381437,1,,Aggregated,0.900000,0.000000,77,80,81,84,130,200,210,230,230,230,230,103,0,77,89.46418403883486,66.56816600000148,234.39345799999955,17.0
1638381438,1,,Aggregated,0.900000,0.000000,77,80,81,84,130,200,210,230,230,230,230,104,0,77,89.31481168269221,66.56816600000148,234.39345799999955,17.0
1638381439,1,,Aggregated,0.900000,0.000000,77,80,81,84,130,200,210,230,230,230,230,105,0,77,89.22149521904753,66.56816600000148,234.39345799999955,17.0
1638381440,1,,Aggregated,0.900000,0.000000,77,80,81,84,130,200,210,230,230,230,230,105,0,77,89.22149521904753,66.56816600000148,234.39345799999955,17.0
1638381441,1,,Aggregated,0.900000,0.000000,78,80,81,83,130,200,210,230,230,230,230,106,0,77,89.12714384905657,66.56816600000148,234.39345799999955,17.0
1638381442,1,,Aggregated,1.000000,0.000000,78,80,81,83,130,200,210,230,230,230,230,107,0,78,89.04593533644861,66.56816600000148,234.39345799999955,17.0
1638381443,1,,Aggregated,1.000000,0.000000,78,80,81,83,130,200,210,230,230,230,230,108,0,77,88.86617012037034,66.56816600000148,234.39345799999955,17.0
1638381444,1,,Aggregated,0.900000,0.000000,77,80,81,83,130,200,210,230,230,230,230,109,0,77,88.75833331192675,66.56816600000148,234.39345799999955,17.0
1638381445,1,,Aggregated,0.900000,0.000000,78,80,81,83,130,200,210,230,230,230,230,110,0,77,88.67967194545447,66.56816600000148,234.39345799999955,17.0
1638381446,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,111,0,77,88.5777233243243,66.56816600000148,234.39345799999955,17.0
1638381447,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,112,0,77,88.46616664285708,66.56816600000148,234.39345799999955,17.0
1638381448,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,113,0,77,88.37414452212383,66.56816600000148,234.39345799999955,17.0
1638381449,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,114,0,77,88.27383514035077,66.56816600000148,234.39345799999955,17.0
1638381450,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,115,0,77,88.16654092173891,66.56816600000148,234.39345799999955,17.0
1638381451,1,,Aggregated,0.900000,0.000000,77,80,81,82,120,200,210,230,230,230,230,115,0,77,88.16654092173891,66.56816600000148,234.39345799999955,17.0
1638381452,1,,Aggregated,0.900000,0.000000,77,80,81,82,130,200,230,230,250,250,250,116,0,77,89.58104236206871,66.56816600000148,252.2487079999962,17.0
1638381453,1,,Aggregated,0.900000,0.000000,77,80,81,83,140,200,230,230,250,250,250,117,0,77,90.33569513675185,66.56816600000148,252.2487079999962,17.0
1638381454,1,,Aggregated,1.000000,0.000000,78,80,81,84,140,200,230,230,250,250,250,118,0,77,90.81370018644027,66.56816600000148,252.2487079999962,17.0
1638381456,1,,Aggregated,0.900000,0.000000,78,80,81,84,140,200,230,230,250,250,250,119,0,78,90.85794990756261,66.56816600000148,252.2487079999962,17.0
1638381457,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,120,0,78,90.93825726666624,66.56816600000148,252.2487079999962,17.0
1638381458,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,121,0,78,90.98627718181764,66.56816600000148,252.2487079999962,17.0
1638381459,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,122,0,78,90.98501261475361,66.56816600000148,252.2487079999962,17.0
1638381460,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,123,0,78,90.80078621951166,66.56816600000148,252.2487079999962,17.0
1638381461,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,124,0,78,90.60966933064452,66.56816600000148,252.2487079999962,17.0
1638381462,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,125,0,78,90.40981030399936,65.62729099999842,252.2487079999962,17.0
1638381463,1,,Aggregated,0.900000,0.000000,78,80,81,88,140,200,230,230,250,250,250,125,0,78,90.40981030399936,65.62729099999842,252.2487079999962,17.0
