@timestamp,@billedDuration,@duration,@initDuration,total,2039.7485,2139.5095
10:57.5,20,19.83,2063.51,2083.51,,
22:21.4,21,20.54,1983.07,2004.07,,
33:48.5,7,6.89,2015.63,2022.63,,
45:09.4,13,12.53,2098.85,2111.85,,
56:28.9,7,6.97,2000.62,2007.62,,
07:51.2,8,7.86,2088.92,2096.92,,
19:08.5,20,19.88,2002.42,2022.42,,
30:25.0,9,8.4,1965.48,1974.48,,
41:47.6,12,11.58,1979.63,1991.63,,
53:06.5,9,8.93,2066.33,2075.33,,
04:25.3,8,7.18,1976.02,1984.02,,
15:45.4,8,7.11,1988.34,1996.34,,
27:07.7,21,20.36,2140.35,2161.35,,
38:25.0,15,14.37,2076.75,2091.75,,
49:48.0,16,15.32,1999.93,2015.93,,
01:06.8,8,7.52,2130.36,2138.36,,
12:25.7,19,18.97,1948.2,1967.2,,
23:48.2,12,11.34,2032.74,2044.74,,
35:07.1,13,12.67,1998.79,2011.79,,
46:21.2,12,11.62,1981.03,1993.03,,
