@timestamp,@billedDuration,@duration,@initDuration,total,463.635,478.0675
23:49.7,352,351.35,110.15,462.15,,
34:00.3,350,349.24,112.78,462.78,,
44:11.4,354,353.42,116.86,470.86,,
54:21.7,347,346.43,110.96,457.96,,
04:30.8,358,357.29,115.51,473.51,,
14:41.3,342,341.49,110.87,452.87,,
24:51.3,351,350.69,114.65,465.65,,
35:01.3,342,341.42,112.82,454.82,,
45:11.1,354,353.31,120.05,474.05,,
55:20.9,354,353.97,119.42,473.42,,
05:30.2,334,333.67,110.81,444.81,,
15:40.3,342,341.75,106.76,448.76,,
25:49.9,366,365.64,116.39,482.39,,
35:59.5,346,345.88,115.53,461.53,,
46:10.6,351,350.97,106.72,457.72,,
56:20.4,347,346.18,121.02,468.02,,
06:29.9,350,349.53,113.25,463.25,,
16:40.2,364,363.5,113.84,477.84,,
26:49.1,344,343.16,118.49,462.49,,
36:59.8,344,343.57,113.82,457.82,,
