@timestamp,@billedDuration,@duration,@initDuration,,,
20:44.5,860,5.65,854.18,,,
32:20.0,902,5.73,895.36,,,
43:55.2,938,5.85,931.85,,,
55:29.0,872,6.04,865.87,,,
07:05.0,854,5.94,847.42,,,
18:41.1,850,5.8,843.42,,,
30:17.2,828,5.58,821.54,,861.15,903.8
41:54.1,863,5.63,857.08,,,
53:27.7,830,5.63,824.07,,,
05:01.5,848,5.74,841.39,,,
16:38.3,847,5.37,840.78,,,
28:14.1,847,5.66,841.11,,,
39:48.1,859,5.84,852.34,,,
02:54.8,843,5.93,836.11,,,
14:29.5,883,5.77,876.4,,,
26:06.8,829,5.81,822.53,,,
37:38.4,899,6.2,892.39,,,
49:13.1,870,5.85,863.93,,,
00:48.0,864,5.87,857.26,,,
12:22.5,837,5.68,831.21,,,
