@timestamp,@billedDuration,@duration,@initDuration,total,,,
10:31.3,2478,2477.8,474.47,2952.47,,,
22:06.8,2482,2481.63,460.55,2942.55,,,
33:43.1,2574,2573.27,476.9,3050.9,,,
45:16.7,2477,2476.41,461.52,2938.52,,,
56:51.4,2363,2362.14,425.48,2788.48,,,
08:29.4,2508,2507.62,460.34,2968.34,,,
20:03.8,2541,2540.22,487.06,3028.06,,,
31:40.7,2475,2474.25,459.79,2934.79,,2952.6115,3029.202
43:15.2,2541,2540.26,463.49,3004.49,,,
54:49.1,2476,2475.96,457.78,2933.78,,,
06:25.3,2500,2499.22,470.82,2970.82,,,
18:01.6,2477,2476.93,472.89,2949.89,,,
29:35.3,2514,2513.6,460.38,2974.38,,,
41:10.4,2482,2481.33,458.38,2940.38,,,
52:41.6,2444,2443.43,473.33,2917.33,,,
04:16.7,2472,2471.85,454.92,2926.92,,,
15:53.5,2492,2491.31,453.88,2945.88,,,
27:25.2,2494,2493.42,443.29,2937.29,,,
39:01.4,2459,2458.9,471.2,2930.2,,,
50:34.3,2522,2521.89,494.76,3016.76,,,
