@timestamp,@billedDuration,@duration,@initDuration,total,,
09:40.3,204,203.35,512.64,716.64,,
21:16.7,212,211.07,522.62,734.62,,
32:54.1,206,205.89,519.37,725.37,,
44:28.6,222,221.04,524.66,746.66,,
56:02.8,205,204.59,512.33,717.33,,
07:40.0,205,204.82,510.43,715.43,,
19:14.3,203,202.78,508.72,711.72,,
30:50.8,213,212.68,513.24,726.24,719.8405,746.033
42:26.8,206,205.32,506.48,712.48,,
54:01.7,204,203.98,507.53,711.53,,
05:35.4,214,213.62,507.58,721.58,,
17:12.8,203,202.71,501.23,704.23,,
28:46.9,201,200.29,508.56,709.56,,
40:21.2,191,190.12,506.99,697.99,,
51:54.1,192,191.81,516.87,708.87,,
03:27.4,218,217.56,524.24,742.24,,
15:03.4,197,196.49,507.06,704.06,,
26:36.7,222,221.74,519.21,741.21,,
38:12.8,212,211.99,534,746,,
49:46.6,203,202.92,500.05,703.05,,
