@timestamp,@billedDuration,@duration,@initDuration,,,
09:10.6,848,5.94,841.22,,,
20:48.3,900,22.13,877.84,,,
32:23.5,904,22.25,881.38,,,
43:59.8,855,6.31,847.7,,,
55:32.5,856,17.8,838.02,,,
07:08.9,900,18.07,881.92,,,
18:45.0,857,13.85,842.91,,878.6,913
30:21.1,1084,14.07,1069.49,,,
41:58.2,870,14.17,855.39,,,
53:32.1,850,20.95,828.17,,,
05:05.8,857,18.87,837.46,,,
16:42.0,857,7.32,849.26,,,
28:18.5,870,21.49,847.92,,,
39:52.0,865,20.4,844.54,,,
51:26.2,851,9.33,840.81,,,
02:58.7,855,9.43,845.34,,,
14:33.1,871,8.14,862.23,,,
26:10.7,854,20.83,832.4,,,
37:42.7,894,15.75,877.27,,,
00:51.2,874,20.32,853.27,,,
