@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:45.1,122,121.14,499.54,621.54,,,
21:21.9,128,127.07,518.51,646.51,,,
32:58.2,111,110.73,511.33,622.33,,,
44:32.3,120,119.12,505.91,625.91,,,
56:07.7,119,118.2,507.8,626.8,,,
07:44.7,125,124.87,512.1,637.1,,,
19:19.1,120,119.53,510.64,630.64,,,
30:55.4,125,124.32,507.3,632.3,,,
42:30.7,111,110.74,493.04,604.04,,,
54:05.1,111,110.58,506.08,617.08,,626.1005,641.437
05:40.5,127,126.6,514.17,641.17,,,
17:17.1,114,113.42,526.71,640.71,,,
28:51.4,109,108.68,485.95,594.95,,,
40:25.5,116,115.95,504.57,620.57,,,
51:57.7,124,123.09,506.5,630.5,,,
03:31.1,111,110.62,508.37,619.37,,,
15:08.4,121,120.14,513.86,634.86,,,
26:41.8,111,110.32,502.34,613.34,,,
38:16.7,124,123.65,507.3,631.3,,,
49:50.4,119,118.6,511.99,630.99,,,
