@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:22.5,36,35.81,1029.37,1065.37,,,
20:59.4,28,27.37,1009.93,1037.93,,,
32:36.5,42,41.88,1051.38,1093.38,,,
44:11.4,29,28.21,1041.33,1070.33,,,
55:45.2,39,38.72,1026.86,1065.86,,,
07:22.4,39,38.65,1030.89,1069.89,,,
18:57.6,37,36.51,1064.59,1101.59,,1066.486,1093.9805
30:33.5,39,38.22,1018.83,1057.83,,,
42:08.7,30,29.6,1059.62,1089.62,,,
53:42.8,25,24.55,1055.24,1080.24,,,
05:18.2,26,25.26,1044.29,1070.29,,,
16:54.4,24,23.45,1015.59,1039.59,,,
28:29.8,10,9.73,1027.54,1037.54,,,
40:03.3,25,24.46,1011.4,1036.4,,,
51:36.3,24,23.48,1069.58,1093.58,,,
03:10.1,30,29.91,1030.01,1060.01,,,
14:45.8,25,24.48,1027.35,1052.35,,,
26:20.3,26,25.46,1066.14,1092.14,,,
37:55.1,9,8.11,1044.93,1053.93,,,
49:29.4,37,36.62,1024.85,1061.85,,,
