@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:25.3,51,50.48,1050.75,1101.75,,,
21:01.8,56,55.76,1041.19,1097.19,,,
32:38.9,41,40.11,1031.61,1072.61,,1089.5405,1106.6965
44:13.2,46,45.66,1059,1105,,,
55:47.1,58,57.49,1039.74,1097.74,,,
07:24.0,55,54.95,1034.12,1089.12,,,
18:59.0,49,48.26,1049.06,1098.06,,,
30:35.4,56,55.89,1021.24,1077.24,,,
42:11.1,38,37.48,1062.16,1100.16,,,
53:45.6,37,36.92,1042.98,1079.98,,,
05:20.2,39,38.19,1044.83,1083.83,,,
16:56.8,52,51.96,1025.51,1077.51,,,
28:32.3,55,54.93,1026.24,1081.24,,,
40:05.0,60,59.42,1057.84,1117.84,,,
51:39.3,44,43.33,1037.91,1081.91,,,
03:12.6,70,69.92,1027.3,1097.3,,,
14:48.1,41,40.35,1019.32,1060.32,,,
26:21.8,44,43.74,1040.33,1084.33,,,
37:57.4,58,57.15,1048.11,1106.11,,,
49:31.5,48,47.68,1033.57,1081.57,,,
