@timestamp,@billedDuration,@duration,@initDuration,,,,
54:19.6,322,148.92,172.98,,,,
04:28.6,319,137.09,181.46,,,,
14:38.7,324,137.17,185.88,,,,
24:49.1,317,137.15,179.4,,,,
34:58.5,294,128.95,164.33,,,,
45:08.5,312,137.17,174.49,,,,
55:19.0,322,148.57,172.56,,,318.3,329.25
05:28.3,391,146.01,244.7,,,,
15:37.7,306,130.85,174.84,,,,
25:47.9,326,145.6,179.41,,,,
35:58.0,323,146.69,175.55,,,,
46:08.8,308,133.21,174.45,,,,
56:17.9,316,145.64,170.19,,,,
06:27.6,305,137.08,167.39,,,,
16:37.3,314,141.08,172.48,,,,
26:47.7,317,148.13,168.12,,,,
36:57.5,320,144.97,174.97,,,,
47:07.6,320,141.22,178.11,,,,
57:17.7,306,140.94,164.67,,,,
07:26.2,304,132.91,170.59,,,,
