@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:39.0,246,245.38,509.38,755.38,,,
21:15.5,248,247.85,512.04,760.04,,,
32:51.9,246,245.84,514.09,760.09,,,
44:27.7,255,254.41,517.19,772.19,,,
56:01.8,268,267.33,527.49,795.49,,,
07:38.5,278,277.22,504.31,782.31,,,
19:12.8,271,270.7,526.13,797.13,,,
30:49.9,251,250.45,490.92,741.92,,,
42:25.4,273,272.35,516.5,789.5,,,
53:59.8,255,254.01,509.49,764.49,,,
05:34.7,249,248.73,503.03,752.03,,769.368,795.572
17:10.7,269,268.94,512.43,781.43,,,
28:45.9,278,277.83,515.34,793.34,,,
40:19.9,250,249.25,502.52,752.52,,,
51:52.9,263,262.98,511.54,774.54,,,
03:26.1,254,253.25,510.53,764.53,,,
15:01.7,246,245.95,512.99,758.99,,,
26:36.4,260,259.86,503.01,763.01,,,
38:11.3,251,250.14,496.78,747.78,,,
49:44.9,255,254.08,525.65,780.65,,,
