Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_image_second/,26,2,1800.0,1884.7245786538022,20.150207999904524,6757.288292000339,15.692307692307692,0.001727657797783357,0.00013289675367564283,1900,2000,2000,2000,2200,2400,6800,6800,6800,6800,6800
,Aggregated,26,2,1800.0,1884.7245786538022,20.150207999904524,6757.288292000339,15.692307692307692,0.001727657797783357,0.00013289675367564283,1900,2000,2000,2000,2200,2400,6800,6800,6800,6800,6800
