@timestamp,@billedDuration,@duration,@initDuration
18:28.9,32,31.95,
18:30.5,30,29.43,
18:32.3,29,28.89,
18:34.9,40,39.61,
18:36.6,17,16.85,
18:38.1,39,38.21,
18:39.7,44,43.62,
18:41.3,32,31.52,
18:42.9,41,40.27,
18:45.6,40,39.77,
18:47.9,75,74.55,
18:49.4,33,32.72,
18:51.0,30,29.46,
18:52.7,42,41.32,
18:54.2,34,33.05,
18:55.8,25,24.62,
18:57.5,18,17.16,
18:59.1,21,20.96,
19:00.7,29,28.67,
19:02.3,34,33.04,
19:03.9,18,17.12,
19:05.6,35,34.18,
19:07.1,36,35.58,
19:08.6,29,28.76,
19:10.2,35,34.2,
19:11.7,30,29.33,
19:13.3,30,29.08,
19:14.9,30,29.91,
19:16.5,29,28.7,
19:19.1,26,25.09,
19:21.3,36,35.32,
19:23.1,34,33.76,
19:24.6,25,24.79,
19:26.2,29,28.99,
19:27.7,49,48.36,
19:29.3,50,49.15,
19:30.8,29,28.7,
19:32.4,13,12.44,
19:33.9,31,30.19,
19:35.7,34,33.53,
19:37.2,26,25.02,
19:38.8,30,29.89,
19:40.3,30,29.03,
19:41.9,31,30.32,
19:43.5,29,28.97,
19:45.1,32,31.61,
19:46.6,46,45.14,
19:50.1,34,33.47,
19:51.6,33,32.73,
19:53.2,29,28.73,
19:54.8,38,37.42,
19:57.4,29,28.74,
19:59.1,41,40.92,
20:00.6,30,29.2,
20:02.3,26,25.1,
20:03.9,25,24.77,
20:05.4,21,20.77,
20:07.0,21,20.58,
20:08.6,31,30.6,
20:10.1,25,24.88,
20:11.7,29,28.91,
20:13.2,33,32.84,
20:14.9,30,29.34,
20:16.4,42,41.38,
20:18.0,35,34.61,
20:19.7,34,33.89,
20:21.2,18,17.1,
20:22.8,50,49.26,
20:24.4,30,29.96,
20:26.0,21,20.64,
20:27.8,26,25.52,
20:29.4,37,36.75,
20:31.3,29,28.8,
20:32.9,29,28.76,
20:34.5,41,40.12,
20:36.0,35,34.83,
20:37.6,25,24.6,
20:39.4,22,21,
20:41.2,42,41.13,
20:43.0,41,40.94,
20:44.6,35,34.71,
20:46.3,48,47.71,
20:47.8,46,45.05,
20:49.4,29,28.76,
20:50.9,29,28.78,
20:52.5,44,43.96,
20:54.0,29,28.87,
20:55.6,31,30.47,
20:57.2,37,36.88,
20:59.8,31,30.94,
21:01.4,25,24.99,
21:02.9,21,20.65,
21:04.5,32,31.05,
21:06.1,25,24.72,
21:07.6,25,24.89,
21:09.2,30,29.97,
21:10.8,29,28.81,
21:12.4,29,28.74,
21:13.9,34,33.26,
21:15.5,21,20.84,
21:17.0,30,29.96,
