@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:38:59.602,3221,3220.23,201000000,
2021-11-25 16:39:00.820,68,67.99,201000000,
2021-11-25 16:39:01.920,46,45.64,202000000,
2021-11-25 16:39:03.043,54,53.19,212000000,
2021-11-25 16:39:04.141,40,39.1,213000000,
2021-11-25 16:39:05.242,32,31.29,213000000,
2021-11-25 16:39:06.343,31,30.92,213000000,
2021-11-25 16:39:07.440,37,36.27,213000000,
2021-11-25 16:39:08.560,51,50.64,213000000,
2021-11-25 16:39:09.660,56,55.82,215000000,
2021-11-25 16:39:10.761,34,33.51,215000000,
2021-11-25 16:39:11.864,41,40.63,215000000,
2021-11-25 16:39:12.960,36,35.71,215000000,
2021-11-25 16:39:14.060,55,54.55,215000000,
2021-11-25 16:39:15.160,59,58.27,215000000,
2021-11-25 16:39:16.260,40,39.23,215000000,
2021-11-25 16:39:17.360,39,38.85,215000000,
2021-11-25 16:39:18.460,41,40.11,215000000,
2021-11-25 16:39:19.580,55,54.75,215000000,
2021-11-25 16:39:20.660,41,40.24,215000000,
2021-11-25 16:39:21.762,36,35.38,215000000,
2021-11-25 16:39:22.862,44,43.81,215000000,
2021-11-25 16:39:23.963,44,43.29,215000000,
2021-11-25 16:39:25.060,37,36.69,215000000,
2021-11-25 16:39:26.160,37,36.31,215000000,
2021-11-25 16:39:27.260,31,30.68,215000000,
2021-11-25 16:39:28.343,33,32.39,215000000,
2021-11-25 16:39:29.442,31,30.96,215000000,
2021-11-25 16:39:30.540,37,36.66,217000000,
2021-11-25 16:39:31.642,36,35.54,217000000,
2021-11-25 16:39:32.761,56,55.3,217000000,
2021-11-25 16:39:33.881,47,46.99,217000000,
2021-11-25 16:39:35.002,44,43.31,217000000,
2021-11-25 16:39:36.120,55,54.76,217000000,
2021-11-25 16:39:37.200,45,44.27,217000000,
2021-11-25 16:39:38.303,40,39.31,217000000,
2021-11-25 16:39:39.403,41,40.01,217000000,
2021-11-25 16:39:40.520,56,55.39,217000000,
2021-11-25 16:39:41.603,37,36.45,217000000,
2021-11-25 16:39:42.703,33,32.12,217000000,
2021-11-25 16:39:43.822,36,35.37,217000000,
2021-11-25 16:39:45.040,103,102.08,217000000,
2021-11-25 16:39:46.240,96,95.13,217000000,
2021-11-25 16:39:47.423,84,83.23,217000000,
2021-11-25 16:39:48.522,36,35.38,217000000,
2021-11-25 16:39:49.660,79,78.74,217000000,
2021-11-25 16:39:50.722,36,35.29,217000000,
2021-11-25 16:39:51.840,59,58.55,217000000,
2021-11-25 16:39:52.920,40,39.2,217000000,
2021-11-25 16:39:54.000,40,39.93,217000000,
2021-11-25 16:39:55.082,36,35.28,217000000,
2021-11-25 16:39:56.200,61,60.25,217000000,
2021-11-25 16:39:57.280,33,32.15,217000000,
2021-11-25 16:39:58.381,52,51,217000000,
2021-11-25 16:39:59.482,41,40.28,217000000,
2021-11-25 16:40:00.584,31,30.78,217000000,
2021-11-25 16:40:01.680,36,35.53,217000000,
2021-11-25 16:40:02.800,61,60.61,217000000,
2021-11-25 16:40:04.040,36,35.44,217000000,
2021-11-25 16:40:05.161,52,51.17,217000000,
2021-11-25 16:40:06.260,32,31.99,217000000,
2021-11-25 16:40:07.360,37,36.04,217000000,
2021-11-25 16:40:08.480,64,63.8,217000000,
2021-11-25 16:40:09.560,39,38.94,217000000,
2021-11-25 16:40:10.660,49,48.24,217000000,
2021-11-25 16:40:11.744,43,42.42,217000000,
2021-11-25 16:40:12.861,33,32.25,217000000,
2021-11-25 16:40:14.000,63,62.48,217000000,
2021-11-25 16:40:15.081,44,43.53,217000000,
2021-11-25 16:40:16.180,36,35.64,217000000,
2021-11-25 16:40:17.280,41,40.18,217000000,
2021-11-25 16:40:18.380,40,39.23,217000000,
2021-11-25 16:40:19.482,40,39.44,217000000,
2021-11-25 16:40:20.580,39,38.73,217000000,
2021-11-25 16:40:21.680,43,42.79,217000000,
2021-11-25 16:40:22.780,51,50.54,217000000,
2021-11-25 16:40:23.881,42,41.21,217000000,
2021-11-25 16:40:24.982,39,38.89,217000000,
