@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
41:07.2,1624,295.58,166000000,,,
52:26.3,1551,235.42,166000000,,,
03:41.6,1418,119.07,166000000,,,
15:02.6,1560,261.21,167000000,,,
26:25.6,1691,422.74,167000000,,,
37:45.6,1647,294.5,167000000,,1577,1692
49:06.4,1533,256.67,167000000,,,
00:26.5,1547,239.21,167000000,,,
11:46.4,1660,294.82,166000000,,,
23:06.4,1555,295.8,166000000,,,
34:26.8,1711,415.02,166000000,,,
45:43.5,1435,175.18,167000000,,,
57:01.7,1657,360.85,166000000,,,
08:21.8,1519,214.57,166000000,,,
19:40.7,1656,294.44,166000000,,,
31:01.6,1632,339.31,166000000,,,
42:21.7,1589,154.29,167000000,,,
53:44.9,1636,319.9,166000000,,,
05:06.3,1375,114.99,167000000,,,
16:33.2,1544,239.31,167000000,,,
