@timestamp,@billedDuration,@duration,@initDuration,total,548.8655,585.6
31:31.6,72,71.44,402.74,474.74,,
42:22.4,75,74.76,443.57,518.57,,
53:09.7,139,138.68,427.58,566.58,,
03:58.6,73,72.19,434.87,507.87,,
14:47.2,94,93.11,448.84,542.84,,
25:35.3,97,96.17,465.13,562.13,,
36:25.7,119,118.83,432.93,551.93,,
47:16.0,78,77.92,428.12,506.12,,
58:06.0,80,79.95,441.18,521.18,,
08:53.6,111,110.07,427.85,538.85,,
19:45.6,73,72.85,453.26,526.26,,
30:34.1,97,96.66,449.41,546.41,,
41:23.8,119,118.43,426.78,545.78,,
52:12.8,97,96.03,415.82,512.82,,
03:03.2,78,77.09,425.11,503.11,,
13:52.9,95,94.69,427.63,522.63,,
24:42.8,78,77.28,433.04,511.04,,
35:28.3,88,87.72,858.98,946.98,,
46:16.7,54,53.17,460.86,514.86,,
57:06.6,99,98.11,457.61,556.61,,
