@timestamp,@billedDuration,@duration,@initDuration,total,513.161,568.257
32:27.9,120,119.35,486.77,606.77,,
43:20.3,59,58.74,441.27,500.27,,
54:11.3,55,54.77,391.13,446.13,,
04:58.4,117,116.71,449.23,566.23,,
15:44.6,58,57.4,424.94,482.94,,
26:30.3,90,89.95,432.32,522.32,,
37:21.6,79,78.29,447.02,526.02,,
48:08.1,57,56.53,434.52,491.52,,
58:58.1,57,56.44,417.81,474.81,,
09:49.8,52,51.41,505.99,557.99,,
20:41.7,63,62.37,428.85,491.85,,
31:32.5,53,52.14,425.97,478.97,,
42:23.2,56,55.65,440.32,496.32,,
53:10.6,55,54.9,439.54,494.54,,
03:59.5,100,99.09,421.38,521.38,,
14:48.0,78,77.6,452.07,530.07,,
25:36.2,57,56.54,482.7,539.7,,
36:26.6,53,52.89,461.27,514.27,,
47:16.8,84,83.4,450.23,534.23,,
58:06.8,45,44.54,441.89,486.89,,
