@timestamp,@billedDuration,@duration,@initDuration,,,
10:32.5,1549,464.76,1084.01,,,
23:45.5,1558,479.33,1078.23,,,
36:44.0,1657,503.97,1152.83,,,
49:43.6,1593,483.27,1108.76,,,
02:39.2,1509,444.48,1063.68,,,
15:32.5,1529,451.67,1076.66,,,
28:28.0,1586,491.88,1093.92,,,
41:12.9,1641,498.36,1141.91,,1588.25,1660.2
53:54.6,1721,498.37,1221.72,,,
06:40.5,1535,464.16,1070.53,,,
19:45.3,1512,459.47,1051.99,,,
32:30.9,1651,500.14,1150.83,,,
45:26.0,1589,508.33,1080.46,,,
58:28.3,1617,496.75,1119.96,,,
11:14.5,1567,487.61,1079,,,
24:17.8,1604,492.96,1110.65,,,
37:03.3,1560,477.52,1082.27,,,
49:48.9,1592,489.73,1101.34,,,
02:28.5,1599,486.93,1111.55,,,
15:32.1,1596,485.08,1110.6,,,
