@timestamp,@billedDuration,@duration,@initDuration,total,6835.1665,6990.1595,
13:02.2,6440,6440,447.74,6887.74,,,
25:59.4,6301,6300.84,444.69,6745.69,,,
39:00.6,6362,6361.52,446.14,6808.14,,,
51:54.7,6421,6420.3,441.14,6862.14,,,
04:49.6,6364,6363.52,443.88,6807.88,,,
17:45.1,6251,6250.68,454.34,6705.34,,,
30:28.8,6542,6541.64,446.27,6988.27,,,
43:12.7,6260,6259.6,425.25,6685.25,,,
55:57.6,6392,6391.03,450.51,6842.51,,6390.85,6543.4
09:04.2,6440,6439.04,450.01,6890.01,,,
21:50.3,6275,6274.76,434.58,6709.58,,,
34:43.7,6539,6538.02,443.48,6982.48,,,
47:47.0,6476,6475.92,453.4,6929.4,,,
00:33.7,6570,6569.32,456.06,7026.06,,,
13:35.4,6409,6408.74,439.12,6848.12,,,
26:23.2,6479,6478.96,444.34,6923.34,,,
39:05.1,6261,6260.78,440.42,6701.42,,,
51:47.3,6410,6409.51,446.17,6856.17,,,
04:48.9,6309,6308.38,441.13,6750.13,,,
17:35.9,6316,6315.77,437.66,6753.66,,,
