@timestamp,@billedDuration,@duration,@initDuration,total,3809.1395,3926.8395
10:52.3,3202,3201.02,422.89,3624.89,,
24:01.1,3345,3344.51,438.53,3783.53,,
36:59.4,3346,3345.26,442.81,3788.81,,
49:59.1,3365,3364.9,435.08,3800.08,,
02:57.0,3388,3387.83,440.98,3828.98,,
15:48.0,3382,3381.67,439.77,3821.77,,
28:43.3,3523,3522.27,469.76,3992.76,,
41:28.2,3326,3325.68,425.66,3751.66,,
54:13.0,3395,3394.95,442.46,3837.46,,
07:09.2,3416,3415.8,445.42,3861.42,,
20:00.8,3465,3464.09,443.23,3908.23,3369.45,3467.9
32:46.7,3400,3399.41,434.39,3834.39,,
45:53.4,3307,3306.75,432.66,3739.66,,
58:49.5,3299,3298.04,436.73,3735.73,,
11:30.8,3464,3463.79,459.37,3923.37,,
24:32.1,3258,3257.31,426.92,3684.92,,
37:18.5,3356,3355.27,442.21,3798.21,,
50:03.1,3388,3387.49,443.37,3831.37,,
02:42.9,3381,3380.44,433.25,3814.25,,
15:48.6,3383,3382.84,438.3,3821.3,,
