Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_250/,128,0,300.0,1400.0497923593841,190.60941699990508,14839.509749999706,17.0,0.016409591771447532,0.0,300,340,370,400,5200,11000,13000,13000,15000,15000,15000
,Aggregated,128,0,300.0,1400.0497923593841,190.60941699990508,14839.509749999706,17.0,0.016409591771447532,0.0,300,340,370,400,5200,11000,13000,13000,15000,15000,15000
