@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:41:04.105,80,79.53,202000000,
2021-11-25 16:41:05.202,32,31.88,202000000,
2021-11-25 16:41:06.303,36,35.66,202000000,
2021-11-25 16:41:07.420,56,55.16,202000000,
2021-11-25 16:41:08.501,37,36.59,202000000,
2021-11-25 16:41:09.603,41,40.04,202000000,
2021-11-25 16:41:10.702,32,31.66,202000000,
2021-11-25 16:41:11.802,36,35.51,202000000,
2021-11-25 16:41:12.920,60,59.13,202000000,
2021-11-25 16:41:14.000,45,44.52,202000000,
2021-11-25 16:41:15.083,28,27.56,202000000,
2021-11-25 16:41:16.220,64,63.12,202000000,
2021-11-25 16:41:17.323,48,47.65,202000000,
2021-11-25 16:41:18.422,29,28.59,202000000,
2021-11-25 16:41:19.522,36,35.63,202000000,
2021-11-25 16:41:20.622,32,31.72,202000000,
2021-11-25 16:41:21.721,32,31.25,202000000,
2021-11-25 16:41:22.822,41,40.14,202000000,
2021-11-25 16:41:24.042,101,100.05,202000000,
2021-11-25 16:41:25.140,36,35.48,202000000,
2021-11-25 16:41:26.240,41,40.02,202000000,
2021-11-25 16:41:27.340,49,48.13,202000000,
2021-11-25 16:41:28.421,37,36.78,202000000,
2021-11-25 16:41:29.523,32,31.43,202000000,
2021-11-25 16:41:30.642,36,35.55,202000000,
2021-11-25 16:41:31.760,48,47.27,202000000,
2021-11-25 16:41:32.880,48,47.46,202000000,
2021-11-25 16:41:33.980,44,43.36,202000000,
2021-11-25 16:41:35.063,32,31.31,202000000,
2021-11-25 16:41:36.183,48,47.99,202000000,
2021-11-25 16:41:37.301,52,51.43,202000000,
2021-11-25 16:41:38.401,33,32.13,202000000,
2021-11-25 16:41:39.500,37,36.65,202000000,
2021-11-25 16:41:40.620,42,41.6,202000000,
2021-11-25 16:41:41.720,46,45.09,202000000,
2021-11-25 16:41:42.823,48,47.44,202000000,
2021-11-25 16:41:43.924,32,31.21,202000000,
2021-11-25 16:41:45.022,36,35.71,202000000,
2021-11-25 16:41:46.141,48,47.33,202000000,
2021-11-25 16:41:47.260,48,47.56,202000000,
2021-11-25 16:41:48.362,32,31.37,202000000,
