@timestamp,@billedDuration,@duration,@initDuration,,,
38:04.6,694,174.76,518.71,,,
48:54.3,776,191.1,584.58,,,
59:43.6,652,156.51,495.13,,,
10:40.3,715,178.24,536.22,,735.85,815.25
21:35.5,786,258.95,526.11,,,
32:30.1,688,175.62,511.98,,,
43:23.0,814,318.24,494.87,,,
54:14.1,735,176.83,557.22,,,
05:00.9,739,235.02,503.29,,,
15:46.9,690,152.13,537.72,,,
26:32.7,707,193.92,512.93,,,
37:23.9,790,273.57,516.2,,,
48:10.5,793,274.37,518.33,,,
59:00.4,667,173.47,492.96,,,
09:52.5,703,152.15,550.56,,,
20:44.0,727,278.69,447.69,,,
31:34.7,736,234.49,501.2,,,
42:25.4,725,245.77,478.89,,,
53:13.0,741,195.84,544.5,,,
04:02.2,839,276.23,562.75,,,
