@timestamp,@billedDuration,@duration,@initDuration,,,,
49:10.4,817,316.81,499.67,,,,
00:00.7,856,324.91,530.18,,,,
10:59.1,954,335.24,617.98,,,,
21:52.9,917,355.35,561.18,,,,
32:46.9,880,324.3,555.22,,,,
43:38.9,858,334.29,523.07,,,,
54:31.3,983,320.46,661.59,,,,
05:18.0,816,320.05,495.92,,,901.6,992.4
16:03.0,879,306.82,571.52,,,,
26:48.9,865,315.69,549.02,,,,
37:41.4,853,317.12,535.44,,,,
48:27.1,884,330.84,552.59,,,,
59:16.7,904,323.49,579.86,,,,
10:09.2,889,341.88,546.35,,,,
21:00.4,904,315.73,587.82,,,,
31:51.0,906,335.67,569.62,,,,
42:40.8,908,324.28,583.66,,,,
53:28.7,928,355.98,571.7,,,,
04:17.8,860,312.18,546.91,,,,
15:06.9,1171,339.31,830.72,,,,
