@timestamp,@billedDuration,@duration,@initDuration,total,182.0285,213.9075
53:59.2,4,3.16,162.52,166.52,,
04:46.0,4,3.19,161.33,165.33,,
15:33.0,4,3.82,176.26,180.26,,
26:18.1,4,3.68,175.15,179.15,,
37:07.9,4,3.13,159.53,163.53,,
47:56.1,4,3.58,171.07,175.07,,
58:46.0,4,3.29,165.68,169.68,,
09:37.3,4,3.12,158.96,162.96,,
20:29.5,4,3.28,157.44,161.44,,
31:21.5,5,4.33,205.71,210.71,,
42:10.6,4,3.83,185.25,189.25,,
52:59.4,4,3.28,164.45,168.45,,
03:48.2,4,3.71,191.09,195.09,,
14:36.6,6,5.57,190.43,196.43,,
25:25.1,4,3.43,160.33,164.33,,
36:14.8,4,3.47,170.56,174.56,,
47:04.6,4,3.18,157.1,161.1,,
57:55.0,4,3.83,192.93,196.93,,
08:43.3,5,4.15,180.12,185.12,,
19:35.2,5,4.57,269.66,274.66,,
