@timestamp,@billedDuration,@duration,@initDuration,total,175.17,195.1115
32:14.5,12,11.26,161.83,173.83,,
43:05.3,4,3.16,165.47,169.47,,
53:58.0,4,3.33,156.24,160.24,,
04:44.4,4,3.4,188.15,192.15,,
15:31.8,10,9.11,172.92,182.92,,
26:16.9,4,3.54,169.74,173.74,,
37:06.5,15,14.95,170.75,185.75,,
47:54.9,4,3.77,200.83,204.83,,
58:44.9,10,9.97,172.44,182.44,,
09:36.2,9,8.87,172.22,181.22,,
20:28.5,4,3.41,172.09,176.09,,
31:20.3,4,3.43,161.79,165.79,,
42:09.3,4,3.3,159.15,163.15,,
52:58.3,4,3.38,170.38,174.38,,
03:47.1,4,3.33,158.37,162.37,,
14:35.4,4,3.37,158.93,162.93,,
25:24.1,16,15.24,178.6,194.6,,
36:13.4,4,3.75,170.61,174.61,,
47:03.5,4,3.01,150.44,154.44,,
57:53.8,4,3.2,164.45,168.45,,
