@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:36.3,526,525.42,514.17,1040.17,,,
21:12.1,530,529.29,506.66,1036.66,,,
32:49.2,524,523.85,512.18,1036.18,,,
44:24.3,541,540.89,512.58,1053.58,,,
55:58.5,542,541.9,511.42,1053.42,,,
07:35.1,529,528.95,498.27,1027.27,,,
19:09.8,557,556.49,520.52,1077.52,,1054.539,1084.4325
30:47.0,544,543.96,517.29,1061.29,,,
42:21.5,543,542.06,495.25,1038.25,,,
53:56.6,525,524.63,500.41,1025.41,,,
05:31.0,537,536.29,518.59,1055.59,,,
17:07.5,562,561.25,520.04,1082.04,,,
28:43.0,574,573.67,551.71,1125.71,,,
40:16.2,540,539.61,511.58,1051.58,,,
51:49.7,523,522.64,516.95,1039.95,,,
03:22.4,549,548.88,525.73,1074.73,,,
14:58.2,527,526.8,511.84,1038.84,,,
26:32.1,562,561.21,520.26,1082.26,,,
38:07.9,551,550.41,520.39,1071.39,,,
49:41.0,530,529.29,488.94,1018.94,,,
