@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:20.6,19,18.24,1013.41,1032.41,,,
20:57.0,10,9.73,1065.89,1075.89,,,
32:33.7,21,20.81,1071.49,1092.49,,,
44:09.2,24,23.79,1061.63,1085.63,,,
55:42.8,20,19.91,1020.96,1040.96,,,
07:19.2,10,9.71,1071.03,1081.03,,,
18:55.0,10,9.19,1030.25,1040.25,,,
30:30.3,18,17.66,1037.28,1055.28,,,
42:07.0,8,7.52,1060.39,1068.39,,1056.065,1085.973
05:15.7,8,7.46,1041.94,1049.94,,,
16:52.1,14,13.92,1058.81,1072.81,,,
28:28.0,8,7.42,1036.89,1044.89,,,
40:01.1,19,18.51,1041.8,1060.8,,,
51:34.6,8,7.04,996.62,1004.62,,,
03:08.2,18,17.14,1031.27,1049.27,,,
14:43.4,17,16.95,1039.73,1056.73,,,
26:17.9,19,18.44,1045.36,1064.36,,,
37:52.1,18,17.56,1018.09,1036.09,,,
49:27.4,18,17.97,1061.79,1079.79,,,
01:01.8,9,8.07,1020.67,1029.67,,,
