@timestamp,@billedDuration,@duration,@initDuration,,,
10:08.6,2002,1504.03,497.79,,,
21:43.9,1900,1474.32,424.81,,,
33:20.8,1926,1467.97,457.75,,,
44:54.1,1889,1458.57,430.02,,,
56:28.6,1818,1430.73,386.75,,,
08:06.1,1922,1480.82,440.72,,,
19:40.5,1939,1477.53,461.33,,,
31:17.5,2240,1526.31,713.42,,,
42:52.7,1878,1460.59,416.51,,1889.05,2013.9
54:26.4,1815,1427.79,387.09,,,
06:01.7,1840,1438.59,400.76,,,
17:38.8,1905,1460.31,443.96,,,
29:12.9,1887,1465.8,420.28,,,
40:47.3,1776,1399.66,375.81,,,
52:19.0,1881,1446.59,434.25,,,
03:53.2,1898,1448.78,449.11,,,
15:30.9,1723,1367.3,354.75,,,
27:03.1,1846,1451.96,393.51,,,
38:38.1,1960,1488.78,470.87,,,
50:12.1,1736,1373.14,362.02,,,
