@timestamp,@billedDuration,@duration,@initDuration,total,,,,
10:40.1,1518,1517.49,467.44,1985.44,,,,
22:15.7,1529,1528.02,464.43,1993.43,,,,
33:51.6,1510,1509.63,451.98,1961.98,,,,
45:25.1,1516,1515.81,461.75,1977.75,,,,
57:00.2,1578,1577.72,468.5,2046.5,,,,
08:38.3,1554,1553.88,466.68,2020.68,,,,
20:12.9,1545,1544.51,451.72,1996.72,,,,
31:50.0,1546,1545.57,464.21,2010.21,,,2020.0085,2065.144
43:24.0,1572,1571.12,492.01,2064.01,,,,
54:57.9,1546,1545.31,484.55,2030.55,,,,
06:33.7,1548,1547.79,493.96,2041.96,,,,
18:10.4,1544,1543.61,461.84,2005.84,,,,
29:43.9,1555,1554.4,491.38,2046.38,,,,
41:18.7,1524,1523.66,454.75,1978.75,,,,
52:50.4,1538,1537.12,464.77,2002.77,,,,
04:25.4,1579,1578.4,507.69,2086.69,,,,
16:02.6,1533,1532.31,485.11,2018.11,,,,
27:34.5,1577,1576.32,458.95,2035.95,,,,
39:10.6,1568,1567.58,489.95,2057.95,,,,
50:43.6,1559,1558.23,479.5,2038.5,,,,
