@timestamp,@billedDuration,@duration,@initDuration,,,
33:53.5,716,543.05,172.4,,,
44:05.0,709,537.22,171.39,,,
54:15.5,690,521.63,167.41,,,
14:35.2,679,509.98,168.75,,704.9,726.55
24:44.5,702,533.36,168.39,,,
34:55.3,726,550.45,175.43,,,
45:04.9,702,525.6,175.64,,,
55:15.1,682,513.3,168.02,,,
05:24.7,688,513.11,174.21,,,
15:34.4,724,539.4,184.42,,,
25:44.5,687,521.09,165.71,,,
35:53.6,693,521.45,170.64,,,
46:04.1,737,547.08,189.24,,,
56:15.0,709,525.61,183.38,,,
06:23.9,717,544.42,172.38,,,
16:33.9,720,548.21,171,,,
26:43.5,707,541.66,164.83,,,
36:53.8,720,537.35,182.28,,,
47:03.3,687,509.42,177.52,,,
57:13.3,703,530.03,172.61,,,
