@timestamp,@billedDuration,@duration,@initDuration,total,,,
10:34.5,2076,2075.24,480.59,2556.59,,,
22:09.9,2082,2081.95,507.73,2589.73,,,
33:46.0,2026,2025.92,460.17,2486.17,,,
45:19.8,2132,2131.53,498.3,2630.3,,,
56:54.4,2029,2028.32,441.88,2470.88,,,
08:32.7,2117,2116.92,496.07,2613.07,,,
20:07.1,2113,2112.81,503.65,2616.65,,,
31:44.0,2057,2056.81,461.39,2518.39,,2557.5005,2635.422
43:18.2,2159,2158.39,459.61,2618.61,,,
54:52.3,2087,2086.16,511.61,2598.61,,,
06:28.2,2063,2062.14,475.65,2538.65,,,
18:04.9,2101,2100.7,556.88,2657.88,,,
29:38.4,2099,2098,459.67,2558.67,,,
41:13.2,1937,1936.45,412.99,2349.99,,,
52:44.6,2044,2043.47,457.98,2501.98,,,
04:19.8,2082,2081.6,476.73,2558.73,,,
15:56.5,2045,2044.64,465.62,2510.62,,,
27:28.5,2158,2157.69,476.24,2634.24,,,
39:04.7,2102,2101.64,499.62,2601.62,,,
50:37.6,2077,2076.67,461.63,2538.63,,,
