@timestamp,@billedDuration,@duration,@initDuration,,,
09:31.3,495,51.82,442.22,,,
21:07.6,527,83.74,442.36,,,
32:45.0,499,67.97,430.93,,503.05,521.3
44:19.1,492,69.48,422.02,,,
55:53.8,512,71.14,440.72,,,
07:30.3,509,78.99,429.64,,,
19:05.6,507,68.17,437.86,,,
30:42.5,507,73.15,433.52,,,
42:16.5,497,68.67,427.83,,,
53:51.4,497,61.34,435.02,,,
05:26.7,486,53.03,432.83,,,
17:02.6,497,70.48,426.23,,,
28:37.9,482,61.98,419.25,,,
40:12.2,513,70.41,441.84,,,
51:44.7,506,69.35,436.46,,,
03:18.2,521,82.78,437.37,,,
14:54.1,514,80.49,433.32,,,
26:27.3,512,77.98,433.08,,,
38:02.8,476,58.16,417.6,,,
49:36.8,512,74.13,437.27,,,
